zpid,price,price_sqft,bedrooms,bathrooms,livingArea,yearBuilt,rentZestimate,rentZestimate_sqft,MeanPricesnearbyHomes,MeanbathroomsnerabyHomes,MeanbedroomsnerabyHomes,MeanlivingAreanerabyHomes,SCHOOLSMeandistance,pageViewCount,favoriteCount,daysOnZillow,dia_semana,ADULTCOM,ANNUALDUES_FEE,WAITINGPERIOD,longitude,latitude,predictions,predictions_LASSO,predictions_ML,D_Safe_Conv_Location,D_Recently_Renovated,D_Ready_To_Move,D_Requires_Repairs,D_Special_Features,D_Not_Free_Litigation,D_More_Than_One_Unit,D_Investors,D_Airbnb,Diff_Prices,Diff_p,VPN,amount,profit_all,ht,Labels,model,task_main_id
45803225,2395000,1388.4057971014493,4.0,4.0,1725,1969,7559,4.3820289855072465,1032912.5,2.0,3.25,1824.625,0.6666666666666666,1783,50,28,4,0,0,0,-81.76464,24.558046,2131116.137242514,2276523.0007961444,2248534.447202184,0,0,0,0,1,0,1,0,0,118476.99920385564,4.946847565922991,57967.57295265533,-59599.309592862905,-2.488488918282376,1,0,predictions_LASSO,fb65c8a5-7a16-4222-a8ba-86f2bfed94f2
45798491,2750000,1718.75,3.0,3.0,1600,1928,4889,3.055625,1233012.5,1.8125,2.0,917.25,1.0,2611,114,21,4,0,0,0,-81.79697,24.55644,2821630.376215186,2629992.9175380906,2493135.2870670846,1,0,0,1,1,1,1,1,0,120007.0824619094,4.363893907705796,37492.1899941172,-76287.01924627327,-2.7740734271372096,1,3,predictions_LASSO,fb65c8a5-7a16-4222-a8ba-86f2bfed94f2
45818681,465000,850.091407678245,1.0,1.0,547,1986,0,0.0,346875.0,1.0,1.0,547.0,0.75,391,5,55,5,0,0,0,-81.080894,24.712288,361443.11319603457,338758.19563006546,419264.9091303652,1,1,1,1,1,0,1,1,0,126241.80436993454,27.148775133319255,0.0,-109830.36980184306,-23.619434365987754,2,3,predictions_LASSO,fb65c8a5-7a16-4222-a8ba-86f2bfed94f2
45818653,465000,850.091407678245,1.0,1.0,547,1986,0,0.0,346875.0,1.0,1.0,547.0,0.75,375,7,62,5,0,0,0,-81.080894,24.712288,367814.1063418859,337837.87842172413,425306.42503712897,1,1,1,1,1,0,0,0,0,127162.12157827588,27.346692812532442,0.0,-110631.0457731,-23.791622746903226,2,3,predictions_LASSO,fb65c8a5-7a16-4222-a8ba-86f2bfed94f2
2053643259,3950000,1311.8565260710727,5.0,5.0,3011,2023,8177,2.7157090667552306,2278274.25,4.166666666666667,4.4,2694.3333333333335,10.5,114,6,791,4,0,0,0,-80.93455,24.772284,5568256.6369554,3822047.799297423,4992640.604103093,1,1,1,1,0,1,1,1,1,127952.2007025769,3.2392962203184026,62706.818895867546,-64288.30043934124,-1.6275519098567404,1,3,predictions_LASSO,fb65c8a5-7a16-4222-a8ba-86f2bfed94f2
82074801,2750000,1810.4015799868334,3.0,3.0,1519,1901,5721,3.7662936142198813,1705625.0,2.25,2.5,1198.375,0.8999999999999999,967,21,17,1,0,0,0,-81.79636,24.55775,2621492.989630462,2621911.075857585,3026433.4887344735,0,1,1,1,0,0,1,1,1,128088.92414241516,4.657779059724188,43872.534047114845,-78532.96346856505,-2.8557441261296383,1,3,predictions_LASSO,fb65c8a5-7a16-4222-a8ba-86f2bfed94f2
54143282,2625000,1279.863481228669,4.0,3.0,2051,1998,7535,3.673817649926865,1905525.0,3.5,3.375,2099.75,0.4,362,11,50,3,0,0,0,-81.78524,24.553534,2079380.8995906063,2496253.3243718236,2145399.5105782393,0,0,0,0,0,0,1,1,0,128746.67562817642,4.904635262025769,57783.52456651118,-68671.9643716301,-2.616074833204957,1,0,predictions_LASSO,fb65c8a5-7a16-4222-a8ba-86f2bfed94f2
457297784,3500000,1161.6329239960173,4.0,5.0,3013,2026,0,0.0,2943750.0,5.0,4.714285714285714,3012.1428571428573,10.55,106,4,22,3,0,0,0,-80.9341,24.772388,4113561.1868730243,3359885.5161633193,4537492.208857771,0,0,0,1,0,0,0,0,0,140114.48383668065,4.0032709667623045,0.0,-121899.60093791217,-3.4828457410832048,1,0,predictions_LASSO,fb65c8a5-7a16-4222-a8ba-86f2bfed94f2
45827419,2900000,1663.798049340218,3.0,3.0,1743,1973,6058,3.4756167527251867,1700931.25,3.03125,3.375,2289.75,7.25,747,14,43,3,0,0,0,-80.50006,25.037348,2908364.5185918016,2747092.278381596,3116901.1274570874,1,0,1,0,0,0,1,1,1,152907.72161840415,5.272680055807039,46456.88013588914,-98187.05770609474,-3.385760610554991,1,3,predictions_LASSO,fb65c8a5-7a16-4222-a8ba-86f2bfed94f2
67856391,2225000,844.4022770398482,4.0,3.0,2635,2005,6194,2.350664136622391,1267175.0,2.8333333333333335,3.0,1864.1666666666667,7.25,214,3,106,3,0,0,0,-80.462204,25.071259,2615023.1454961984,2068514.5560333224,2499826.2102964604,1,0,1,0,0,1,0,1,0,156485.44396667765,7.033053661423714,47499.82099070606,-100517.47050798,-4.517639123954158,2,0,predictions_LASSO,fb65c8a5-7a16-4222-a8ba-86f2bfed94f2
